episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
124,16929,124,-32.278,0.064166,0.05,262,5,6,16,11,2,7,13,6.664795,5,8,-5.667603,,,,,,,,
125,17113,125,89.216496,0.063321,0.05,171,1,7,16,15,5,16,4,1.371582,1,3,-15.214209,,,,,,,,
126,17123,126,-38.425358,0.06354,0.05,217,1,7,16,15,0,0,3,1.099609,0,3,-15.950195,,,,,,,,
127,17341,127,-8.836619,0.064668,0.05,251,1,7,16,15,8,12,6,2.200684,1,5,-12.999658,,,,,,,,
128,17589,128,22.991228,0.059051,0.05,185,5,7,16,11,1,11,8,3.749512,2,6,-13.125244,,,,,,,,
129,17598,129,555.513238,0.057517,0.05,106,7,8,16,9,49,101,59,26.816895,30,29,49.108447,,,,,,,,
130,17798,130,-49.270188,0.062311,0.05,266,1,7,16,15,0,0,3,1.118164,0,3,-13.540918,,,,,,,,
131,17824,131,180.567679,0.059379,0.05,138,5,8,16,11,38,51,34,14.459961,27,7,68.12998,,,,,,,,
132,17842,132,-35.193467,0.063997,0.05,282,4,7,16,12,4,6,14,7.449219,3,11,-10.975391,,,,,,,,
133,17967,133,23.746296,0.062197,0.05,100,2,8,16,14,6,8,8,4.114014,6,2,1.457007,,,,,,,,
134,18284,134,-36.068868,0.059472,0.05,227,2,7,16,14,0,0,9,3.706787,4,5,-5.646606,,,,,,,,
135,18490,135,-19.742237,0.060942,0.05,235,4,7,16,12,5,12,11,5.665039,5,6,-0.76748,,,,,,,,
136,18491,136,72.00793,0.059509,0.05,136,3,8,16,13,12,30,21,10.56543,12,9,16.982715,,,,,,,,
137,18804,137,-16.54025,0.059929,0.05,203,1,8,16,15,0,4,2,0.619873,0,2,-18.290063,,,,,,,,
138,18888,138,-35.413863,0.061244,0.05,174,0,8,16,16,0,0,0,0.0,0,0,-15.6,,,,,,,,
139,19367,139,-16.879851,0.061506,0.05,175,1,8,16,15,0,3,7,3.215088,5,2,-0.792456,,,,,,,,
140,19644,140,93.794966,0.058316,0.05,85,2,8,15,13,12,14,11,5.213379,5,6,-3.393311,,,,,,,,
141,19649,141,93.747141,0.058503,0.05,170,3,8,16,13,0,49,10,4.567139,2,8,-15.716431,,,,,,,,
142,19838,142,-13.784596,0.060272,0.05,140,1,8,16,15,2,9,7,2.909668,5,2,0.254834,,,,,,,,
143,19986,143,-21.981924,0.055837,0.05,134,3,8,16,13,1,41,15,8.077881,3,12,-18.16106,,,,,,,,
144,20181,144,-32.11743,0.058322,0.05,162,1,8,16,15,0,16,6,3.583984,5,1,2.091992,,,,,,,,
145,20205,145,-24.171308,0.060137,0.05,179,2,8,16,14,1,3,7,3.186523,2,5,-15.506738,,,,,,,,
146,20448,146,-39.406045,0.05906,0.05,164,0,8,16,16,0,0,0,0.0,0,0,-19.2,,,,,,,,
147,20826,147,16.102896,0.059616,0.05,146,3,8,16,13,10,10,14,6.405029,5,9,-8.497485,,,,,,,,
148,20852,148,393.667772,0.05567,0.05,128,1,8,16,15,6,135,5,2.089355,4,1,-4.055322,,,,,,,,
149,20883,149,-51.772153,0.058655,0.05,235,0,8,16,16,0,9,1,0.30249,0,1,-9.748755,,,,,,,,
150,21129,150,-38.825771,0.057221,0.05,251,3,8,16,13,2,3,18,8.531494,6,12,-2.934253,,,,,,,,
